id,id,title,views,prize_id,office_id,juchae,jukwan,apply_period,prize_1st,apply_url,image_url,field,prize,office,target,act_id,all
11,11,2022 애니툰 9월 웹툰/웹소설 공모전,884,1,8,주식회사 애니툰,주식회사 애니툰,2022.09.01~2022.09.30,"5,000만원",https://www.anytoon.co.kr/webtoon/landing/contest?t=1,https://www.thinkcontest.com/ufiles/contest/ab9dc518d598bf83d5b5f3d222bb8d1f3aec06ac.jpg,문학/수기캐릭터/만화,5000~,중소/벤처기업,대학생/대학원생/일반인/어린이/초등학생/중학생/고등학생/기업/제한없음,11.0,문학/수기캐릭터/만화 중소/벤처기업 5000~대학생/대학원생/일반인/어린이/초등학생/중학생/고등학생/기업/제한없음
12,12,"제18회 글여울 장편소설?<문명, 그 화려한 역설>?비밀찾기 프로젝트 공모",473,1,8,도서출판 글여울,도서출판 글여울,2022.09.05~2022.09.25,4000만원,http://www.geulyeoul.com/,https://www.thinkcontest.com/ufiles/contest/7770d04f6689f35c84360b8f2d83ebd47e614e5a.jpg,기획/아이디어,5000~,중소/벤처기업,대학생/대학원생/일반인,12.0,기획/아이디어 중소/벤처기업 5000~대학생/대학원생/일반인
13,13,농식품 R&D Young Creator 공모전,238,1,1,농림식품기술기획평가원,농림식품기술기획평가원,2022.09.01~2022.09.22,500만원,https://www.ipet.re.kr/Notice/NoticeVP.asp?tbl_id=26493,https://www.thinkcontest.com/ufiles/contest/a308740d5d7d823934a0294b34e434d6cd187bf9.png,논문/리포트,5000~,중앙정부/기관,대학원생/일반인,13.0,논문/리포트 중앙정부/기관 5000~대학원생/일반인
14,14,제29회 삼성전자 휴먼테크 논문대상,400,1,3,삼성전자,삼성전자,2022.09.01~2022.10.05,"2,000만원",https://humantech.samsung.com/saitext/index.jsp,https://www.thinkcontest.com/ufiles/contest/a27900aa496907655270016d058254ce725c2112.jpg,논문/리포트,5000~,대기업,대학생/대학원생/해외 대학 재학 중인 한국인(재외동포 포함) ,14.0,논문/리포트 대기업 5000~대학생/대학원생/해외 대학 재학 중인 한국인(재외동포 포함) 
15,15,[롯데장학재단X뉴스더원] 제5회 롯데출판문화대상 공모전,1276,1,4,한국장학재단,"한국전자출판학회,뉴스더원",2022.09.01~2022.09.30,"2,000만원",http://www.newstheone.com/,https://www.thinkcontest.com/ufiles/contest/d763f6db63817c93832121b6cc102fb288ab506a.jpg,문학/수기,5000~,신문/방송/언론,대학생/대학원생/일반인,15.0,문학/수기 신문/방송/언론 5000~대학생/대학원생/일반인
16,16,인천뮤지엄파크 조성사업 국제설계공모,2558,1,1,인천광역시,한국건축가협회,2022.08.31~2022.10.15,"4,000만원",https://www.incheon-museumpark.org,https://www.thinkcontest.com/assets/img/thinkgood_profile.jpg,건축/건설,5000~,중앙정부/기관,대학생/대학원생/일반인/기업/홈페이지 반드시 참조,16.0,건축/건설 중앙정부/기관 5000~대학생/대학원생/일반인/기업/홈페이지 반드시 참조
17,17,(지원사업) 드림벤처스타 with DAEKYO 스타트업 지원사업,469,1,6,"DAEKYO, 대전창조경제혁신센터","DAEKYO, 대전창조경제혁신센터",2022.09.19~2022.09.23,"기업별 1,000만원",www.dvs-daekyo.com,https://www.thinkcontest.com/ufiles/contest/6a8dd42eec07e760826d378a284bffb075041b74.png,취업/창업,5000~,지방자치단체,기업,17.0,취업/창업 지방자치단체 5000~기업
18,18,2022 영상화 타깃 웹툰 IP 인큐베이팅 공모전 메가힛 투유,931,1,8,"투유드림, 메가박스중앙플러스엠","투유드림, 메가박스중앙플러스엠",2022.08.24~2022.11.10,"5,000만원",https://www.megahittoyou.com/,https://www.thinkcontest.com/ufiles/contest/4a910c1aba821ec5c7f37df87e9d20012c6cf4cc.png,기획/아이디어캐릭터/만화,5000~,중소/벤처기업,대학생/대학원생/일반인/고등학생,18.0,기획/아이디어캐릭터/만화 중소/벤처기업 5000~대학생/대학원생/일반인/고등학생
19,19,2022 제1회 전통문양 산업화 아이디어 공모전,505,1,1,문화체육관광부,한국문화정보원,2022.08.22~2022.10.14,200만원,https://www.kcisa.kr/kr/board/notice/boardView.do?bbsIdx=9499&pageIndex=1&searchCondition=&searchKey,https://www.thinkcontest.com/ufiles/contest/84ebf9a39bea5e86453cc156e8208eddf9cbaa62.png,기획/아이디어,5000~,중앙정부/기관,대학생/대학원생,19.0,기획/아이디어 중앙정부/기관 5000~대학생/대학원생
20,20,"조아라 제4회 테마공모전 #판무 (feat. 신인, 기성작가 모두 환영)",502,1,8,조아라,조아라,2022.09.06~2022.10.24,"2,000만원",https://www.joara.com/notice/1000153,https://www.thinkcontest.com/ufiles/contest/9b670a5d8260b844b341dffcdef441b070100e7c.png,문학/수기,5000~,중소/벤처기업,대학생/대학원생/일반인,20.0,문학/수기 중소/벤처기업 5000~대학생/대학원생/일반인
21,21,"2022 O-Prize 공모전 모집, 모두를 위한 다른 생각",335,1,7,동그라미재단,동그라미재단,2022.08.10~2022.09.30,"최대 5,000만원",https://www.o-prize.com/index.php,https://www.thinkcontest.com/ufiles/contest/cdb9ee0768a746978a8379e085ac20178e0acb63.jpg,기획/아이디어,5000~,학교/재단/협회,대학생/대학원생/일반인/고등학생/기업/제한없음,21.0,기획/아이디어 학교/재단/협회 5000~대학생/대학원생/일반인/고등학생/기업/제한없음
22,22,콘텐츠의 경계를 넘다 선넘는 공모전,1738,1,3,"엔씨소프트, MBC, 서울산업진흥원","엔씨소프트, MBC, 서울산업진흥원",2022.09.14~2022.09.28,총 상금 2억원,https://bufftoon.plaync.com/contests/2022,https://www.thinkcontest.com/ufiles/contest/fb4b6fa2da35efcae308395bc6128526b50975d8.png,UCC/영상문학/수기캐릭터/만화,5000~,대기업,대학생/대학원생/일반인/어린이/초등학생/중학생/고등학생/제한없음,22.0,UCC/영상문학/수기캐릭터/만화 대기업 5000~대학생/대학원생/일반인/어린이/초등학생/중학생/고등학생/제한없음
23,23,강소도시의 테크놀로지_지속가능한 미래도시의 제안,252,1,7,서울대학교 건축학과,서울대학교 건축학과,2022.08.01~2022.10.15,총 상금 2억원,https://www.alternative-city.org/,https://www.thinkcontest.com/ufiles/contest/192202e2faf8bf17ddc0d37a2c448808e8a7c68b.jpg,기획/아이디어,5000~,학교/재단/협회,대학원생/(책임)연구원,23.0,기획/아이디어 학교/재단/협회 5000~대학원생/(책임)연구원
24,24,(경진대회) 2022 국제 퀀트 모의투자 대회 Global Alphathon,266,1,11,WorldQuant ,WorldQuant ,2022.08.01~2022.09.25,"20,000달러",https://www.worldquant.com/ko/global-alphathon/,https://www.thinkcontest.com/ufiles/contest/97231c896e1a8eaa348a382560bfe7d5ca687e7e.jpg,대외활동,5000~,기타,대학생/대학원생/일반인,24.0,대외활동 기타 5000~대학생/대학원생/일반인
25,25,제 5회 롯데출판문화대상공모,992,1,7,한국장학재단,"한국전자출판학회,뉴스더원",2022.09.01~2022.09.30,"50,000,000원",http://www.newstheone.com/news/articleView.html?idxno=100861,https://www.thinkcontest.com/ufiles/contest/40499f7dfa8905685d9a8e3ce9f8816597835f1d.jpg,문학/수기,5000~,학교/재단/협회,대학생/대학원생/일반인/중학생/고등학생/제한없음,25.0,문학/수기 학교/재단/협회 5000~대학생/대학원생/일반인/중학생/고등학생/제한없음
26,26,제1회 위즈덤하우스 어린이청소년 판타지문학상 공모,1367,1,8,위즈덤하우스,위즈덤하우스,2022.07.13~2022.12.31,"2,000만원",https://www.wisdomhouse.co.kr/,https://www.thinkcontest.com/ufiles/contest/7cd0fe23f64074fd2c82bbaa5d5ad3a510ce8f3f.jpg,문학/수기,5000~,중소/벤처기업,어린이/초등학생/중학생/고등학생,26.0,문학/수기 중소/벤처기업 5000~어린이/초등학생/중학생/고등학생
27,27,대한민국 경제오디션 내가 경제스타 K,665,1,4,KBS1,KBS1,2022.07.11~2022.12.30,6천만원,https://program.kbs.co.kr/1radio/radio/hongeconomy/pc/board.html?smenu=3c9923&bbs_loc=R2021-0015-03-,https://www.thinkcontest.com/ufiles/contest/89272e31fd16fe679dbfabd8234acae54193953a.png,대외활동,5000~,신문/방송/언론,대학생/대학원생/일반인/제한없음,27.0,대외활동 신문/방송/언론 5000~대학생/대학원생/일반인/제한없음
28,28,제16회 삶의향기 동서문학상,2500,1,3,동서식품(주),"삶의향기 동서문학상 운영위원회, (사)한국문인협회",2022.05.23~2022.10.04,"1,000만원",https://bookclub.dongsuh.co.kr/00_main/main.asp,https://www.thinkcontest.com/ufiles/contest/f931a133ea8557a76f699b7b9b83eaaffbda7f95.jpg,문학/수기,5000~,대기업,대학생/대학원생/일반인/대한민국 여성 누구나,28.0,문학/수기 대기업 5000~대학생/대학원생/일반인/대한민국 여성 누구나
29,29,제2회 고창신재효문학상 작품 공모,1585,1,6,"고창군청, 고창신재효문학상운영위원회","고창군청, 고창신재효문학상운영위원회",2022.02.10~2022.09.30,"5,000만원",https://www.gochang.go.kr/board/view.gochang?boardId=BBS_0000180&dataSid=432478&menuCd=DOM_000000102,https://www.thinkcontest.com/ufiles/contest/2f57207c3d14b3ee88ea318b6e8273e4e0ba6e78.jpg,문학/수기,5000~,지방자치단체,대학생/대학원생/일반인,29.0,문학/수기 지방자치단체 5000~대학생/대학원생/일반인
30,30,올포원 펀TV 먹방챌린지,2294,1,8,(주)펀앤아이,(주)펀앤아이,2022.01.01~2022.12.31,"1,000만원",https://blog.naver.com/allforonefuntv/222615603667,https://www.thinkcontest.com/ufiles/contest/6fb04b710cea2d80dc253227bfc72aa8eab69efa.png,UCC/영상,5000~,중소/벤처기업,대학생/대학원생/일반인/어린이/초등학생/중학생/고등학생/제한없음,30.0,UCC/영상 중소/벤처기업 5000~대학생/대학원생/일반인/어린이/초등학생/중학생/고등학생/제한없음
31,31,DDP-NFT Collecting Vol.1 NFT 디자이너 공모전,4993,2,7,서울디자인재단,"서울디자인재단, 델리오",2022.09.01~2022.11.03,350만원,https://www.01etc.com/live/ddp,https://www.thinkcontest.com/ufiles/contest/9d0cb2f802deaf9069a7925fbede304860cba156.JPG,디자인,3000~5000,학교/재단/협회,대학생/대학원생/일반인/고등학생/제한없음,31.0,디자인 학교/재단/협회 3000~5000대학생/대학원생/일반인/고등학생/제한없음
32,32,저작권 보호 짤막 영상 공모전,6954,2,2,한국저작권보호원,"서울디자인재단, 델리오",2022.09.01~2022.09.30,"1,000만원",https://www.copyright-ucc.kr/,https://www.thinkcontest.com/ufiles/contest/bf94eb998061206a7be7302ca66ab852a8fb0585.jpg,기획/아이디어UCC/영상,3000~5000,공기업,대학생/대학원생/일반인/어린이/초등학생/중학생/고등학생/제한없음,32.0,기획/아이디어UCC/영상 공기업 3000~5000대학생/대학원생/일반인/어린이/초등학생/중학생/고등학생/제한없음
33,33,2022 부산유라시아플랫폼 미디어아트월 공모전,6462,2,6,부산시,부산유라시아플랫폼,2022.08.19~2022.09.30,"1,000만원",http://artwall.dsso.kr/,https://www.thinkcontest.com/ufiles/contest/98b19102684d320fc8074f9b135f54fe88f69c19.jpg,UCC/영상,3000~5000,지방자치단체,대학생/대학원생/일반인,33.0,UCC/영상 지방자치단체 3000~5000대학생/대학원생/일반인
34,34,"당신에게 필요한 맞춤형 차, 레이EV를 활용한 PBV 아이디어 공모전",4066,2,3,기아,기아,2022.07.18~2022.10.16,"1,000만원",https://www.kia.com/kr/event/progress-view.html?sc.eventSeq=3750,https://www.thinkcontest.com/ufiles/contest/d4d97539678b886b486ff9dcf60fb86cd32a9be6.jpg,기획/아이디어,3000~5000,대기업,대학생/대학원생/일반인,34.0,기획/아이디어 대기업 3000~5000대학생/대학원생/일반인
35,35,2022 국민참여 청렴콘텐츠 공모전,31957,2,1,국민권익위원회 청렴연수원,기아,2022.07.01~2022.10.04,300만원,https://bit.ly/3u87AgT,https://www.thinkcontest.com/ufiles/contest/b78f217a8c2f3bc7a1a3859588e71845624d031c.jpg,디자인UCC/영상예체능문학/수기캐릭터/만화,3000~5000,중앙정부/기관,대학생/대학원생/일반인/초등학생/중학생/고등학생/제한없음,35.0,디자인UCC/영상예체능문학/수기캐릭터/만화 중앙정부/기관 3000~5000대학생/대학원생/일반인/초등학생/중학생/고등학생/제한없음
36,36,제4회 팜(Farm)터지고 펀(Fun)한 농업·농촌 영상 공모전,24344,2,2,농림수산식품교육문화정보원,농림수산식품교육문화정보원,2022.06.07~2022.10.04,500만원,http://www.spectory.net/epis/farmfilm,https://www.thinkcontest.com/ufiles/contest/b3f3c043bfb61c35b3cf7c87e8323792671b7de5.jpg,UCC/영상,3000~5000,공기업,대학생/대학원생/일반인/초등학생/중학생/고등학생/제한없음,36.0,UCC/영상 공기업 3000~5000대학생/대학원생/일반인/초등학생/중학생/고등학생/제한없음
37,37,(지원사업) [대전창조경제혁신센터] 2022 대교와 함께하는 스타트업 지원사업,90,2,3,"대교, 대전창조경제혁신센터","대교, 대전창조경제혁신센터",2022.09.19~2022.09.23,"기업별 1,000만원",http://www.dvs-daekyo.com/,https://www.thinkcontest.com/ufiles/contest/d26d45e31bd26d5ad9fbdbb8833842347cb1930a.jpeg,취업/창업,3000~5000,대기업,일반인/기업,37.0,취업/창업 대기업 3000~5000일반인/기업
38,38,(경진대회) 대학(석사과정)생 K-기업가정신 경진대회,196,2,7,한국경영학회,"대교, 대전창조경제혁신센터",2022.08.16~2022.11.04,200만원,https://kasba.or.kr/59/11486160,https://www.thinkcontest.com/ufiles/contest/e85b045f6f6c47fadface587fbf6cf3260dfe1cb.png,논문/리포트,3000~5000,학교/재단/협회,대학생/대학원생,38.0,논문/리포트 학교/재단/협회 3000~5000대학생/대학원생
39,39,제40회 마로니에 여성 백일장,321,2,1,한국문화예술위원회,"대교, 대전창조경제혁신센터",2022.09.15~2022.10.13,백일장 시상,https://munjang.or.kr/archives/category/join-epilo,https://www.thinkcontest.com/ufiles/contest/7972190f4f612ec05f2f9db56045c20af1e59ce5.jpg,문학/수기,3000~5000,중앙정부/기관,대학생/대학원생/일반인/중학생/고등학생/제한없음,39.0,문학/수기 중앙정부/기관 3000~5000대학생/대학원생/일반인/중학생/고등학생/제한없음
40,40,화성시 발안 만세거리 조형물 공모전,123,2,6,화성시청 문화유산과,화성시청 문화유산과,2022.09.19~2022.09.30,"48,000,000만원 ",https://www.hscity.go.kr/www/link/BD_notice.do,https://www.thinkcontest.com/ufiles/contest/1a3bf4f75f0e7bd3142bfcc99d5e57b799bdd34b.jpg,디자인,3000~5000,지방자치단체,대학생/대학원생/일반인/기업,40.0,디자인 지방자치단체 3000~5000대학생/대학원생/일반인/기업
41,41,(경진대회) 2022 제20회 대한민국 서당문화한마당,140,2,7,한국전통서당문화진흥회,한국전통서당문화진흥회,2022.09.05~2022.09.23,"48,000,000만원 ",https://koreaseodang.imweb.me/,https://www.thinkcontest.com/ufiles/contest/ed8323f5827ec6e22381d17a14d7ac4ce56dacd4.jpg,예체능문학/수기대외활동,3000~5000,학교/재단/협회,대학생/대학원생/일반인/초등학생/중학생/고등학생,41.0,예체능문학/수기대외활동 학교/재단/협회 3000~5000대학생/대학원생/일반인/초등학생/중학생/고등학생
42,42,「부천아트센터 미디어아트 공모전」,92,2,6,부천시,부천아트센터,2022.09.01~2022.09.30,700만원,https://www.bucheon.go.kr/site/program/board/basicboard/view?menuid=148002001001&searchenddate=&searchselect=boardtitle&searchstartdate=&searchword=%EB%AF%B8%EB%94%94%EC%96%B4%EC%95%84%ED%8A%B8&pagesi,https://www.thinkcontest.com/ufiles/contest/ee0d2abc7b5c6be7518e80beadee152842a6dba1.jpg,UCC/영상,3000~5000,지방자치단체,대학생/대학원생/일반인/중학생/고등학생,42.0,UCC/영상 지방자치단체 3000~5000대학생/대학원생/일반인/중학생/고등학생
43,43,[문화예술 데이터 공모전] 제3회 예술데이터가 바꾸는 세상,108,2,1,문화체육관광부,한국문화예술위원회,2022.08.25~2022.09.25,500만원,https://www.arko.or.kr/board/view/4053?bid=&page=&cid=1804901,https://www.thinkcontest.com/ufiles/contest/cf48c9398e3b23facc9bba93d75b2b13c5057c09.jpg,기획/아이디어,3000~5000,중앙정부/기관,대학생/대학원생/일반인/중학생/고등학생,43.0,기획/아이디어 중앙정부/기관 3000~5000대학생/대학원생/일반인/중학생/고등학생
44,44,제2회 헤럴드 에코어워드,463,2,4,헤럴드,헤럴드,2022.08.29~2022.10.20,"1,500만원",https://www.heraldeco.com/content/campaign_view.php?pk=21,https://www.thinkcontest.com/ufiles/contest/345b2f8cf8ce1784ee9192fb3ffb3073e1ddd44f.png,논문/리포트기획/아이디어,3000~5000,신문/방송/언론,대학생/대학원생/일반인/어린이/초등학생/중학생/고등학생/기업/제한없음,44.0,논문/리포트기획/아이디어 신문/방송/언론 3000~5000대학생/대학원생/일반인/어린이/초등학생/중학생/고등학생/기업/제한없음
45,45,2022년 스타트업 퀸 챌린지 공모전,92,2,7,한국여성벤처협회,한국여성벤처협회 창업스타트업사업단,2022.08.23~2022.09.22,1000만원,http://kovwa.or.kr/94/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=12652030&t=board,https://www.thinkcontest.com/ufiles/contest/fa0886e16cd5a1111143dfe1ab03c19af9324bcd.jpg,기획/아이디어,3000~5000,학교/재단/협회,일반인/여성,45.0,기획/아이디어 학교/재단/협회 3000~5000일반인/여성
46,46,2022 제8회 한국신발디자인공모전,776,2,6,부산광역시,신발산업진흥센터,2022.07.15~2022.09.29,"총상금 3,350만원",www.shoedesign.kr,https://www.thinkcontest.com/ufiles/contest/441c3471dde130c75e7d0690297d8a1e976dfcfa.jpg,디자인예체능,3000~5000,지방자치단체,대학생/대학원생/일반인/초등학생/중학생/고등학생,46.0,디자인예체능 지방자치단체 3000~5000대학생/대학원생/일반인/초등학생/중학생/고등학생
47,47,한글?한국어 유튜브 공모 2022,422,2,7,한문화재단,세종국어문화원,2022.07.15~2022.11.06,500만원,https://www.klfesta.org,https://www.thinkcontest.com/ufiles/contest/7f488384d332dafa6b99bdf959ca30b60d3a9985.png,UCC/영상,3000~5000,학교/재단/협회,대학생/대학원생/일반인/어린이/초등학생/중학생/고등학생/기업/제한없음,47.0,UCC/영상 학교/재단/협회 3000~5000대학생/대학원생/일반인/어린이/초등학생/중학생/고등학생/기업/제한없음
48,48,(경진대회) 제 18회 전국 대학생 증권?파생상품 경시대회,501,2,2,한국거래소,세종국어문화원,2022.08.29~2022.10.14,"1,000만원",https://univ.krx.co.kr,https://www.thinkcontest.com/ufiles/contest/02a03615a0db7b6893e04731ec6cb810e6fc30c7.png,논문/리포트기획/아이디어,3000~5000,공기업,대학생,48.0,논문/리포트기획/아이디어 공기업 3000~5000대학생
49,49,제41회 통일논문 및 홍보영상 공모,731,2,1,통일부,통일부,2022.09.05~2022.10.07,500만원,http://www.uniedu.go.kr,https://www.thinkcontest.com/ufiles/contest/2d44748b5472ea1cd4f39cdbaaa0d304175d76d2.jpg,논문/리포트UCC/영상,3000~5000,중앙정부/기관,대학생/대학원생,49.0,논문/리포트UCC/영상 중앙정부/기관 3000~5000대학생/대학원생
50,50,2022 단양관광 UCC·사진 공모전,1432,2,6,단양군청,단양군청,2022.04.20~2022.11.03,"3,000만원",https://www.danyang.go.kr/dy21/975?action=read&action-value=f27544a109e8303aad435e5ebd029eee,https://www.thinkcontest.com/ufiles/contest/5f9bb90e6c06d4a78a3d18de383b5e885798f36f.jpg,사진UCC/영상,3000~5000,지방자치단체,대학생/대학원생/일반인/중학생/고등학생/제한없음,50.0,사진UCC/영상 지방자치단체 3000~5000대학생/대학원생/일반인/중학생/고등학생/제한없음
51,51,202년 무예소설 문학상 공모,1108,2,6,충청북도,사단법인 한국소설가협회,2022.08.16~2022.09.30,3000만원,https://www.danyang.go.kr/dy21/975?action=read&action-value=f27544a109e8303aad435e5ebd029eee,https://www.thinkcontest.com/ufiles/contest/b564e92f5957d44ca0305e6f74c4c4e0c92c0c56.jpg,문학/수기,3000~5000,지방자치단체,대학생/대학원생/일반인/어린이/초등학생/중학생/고등학생/제한없음,51.0,문학/수기 지방자치단체 3000~5000대학생/대학원생/일반인/어린이/초등학생/중학생/고등학생/제한없음
52,52,2023년 제6회 NTD 국제 인물화 공모전,10373,2,10,NTD,NTD,2022.04.04~2023.01.15,"US$10,000",http://oilpainting.ntdtv.kr/,https://www.thinkcontest.com/ufiles/contest/41e709842667b59226edae1d8fa15f0c45708a92.jpg,예체능,3000~5000,해외,대학생/대학원생/일반인,52.0,예체능 해외 3000~5000대학생/대학원생/일반인
53,53,2023 제29회 황금도깨비상 공모,4819,2,8,비룡소,비룡소,2022.01.19~2022.10.31,"2,000만원",http://bir.co.kr/awards/%ed%99%a9%ea%b8%88%eb%8f%84%ea%b9%a8%eb%b9%84%ec%83%81/,https://www.thinkcontest.com/ufiles/contest/322cc0fe9f0467068c3855d9d4b8cb93e17a12d0.png,문학/수기,3000~5000,중소/벤처기업,대학생/대학원생/일반인/신인 및 기성 작가,53.0,문학/수기 중소/벤처기업 3000~5000대학생/대학원생/일반인/신인 및 기성 작가
54,54,제10회 대한민국 어린이제품 디자인공모전,18134,3,6,"경상북도, 문경시",(사)디자인정책연구원,2022.09.21~2022.09.27,500만원,http://www.kfkaward.com/,https://www.thinkcontest.com/ufiles/contest/1b64250a31f700827352a92b7ea87c9e97175e9a.jpg,디자인예체능,1000~3000,지방자치단체,대학생/대학원생/일반인/어린이/초등학생/중학생/고등학생/제한없음,54.0,디자인예체능 지방자치단체 1000~3000대학생/대학원생/일반인/어린이/초등학생/중학생/고등학생/제한없음
55,55,제1회 광주상징 관광기념품 공모전,128,3,1,광주광역시,광주디자인진흥원,2022.09.21~2022.11.04,700만원,http://www.spectory.net/gidp/gjgoods/2022/1,https://www.thinkcontest.com/ufiles/contest/5da538d951f8e7d7df1122a6e94422a816defe53.jpg,디자인,1000~3000,중앙정부/기관,대학생/대학원생/일반인/중학생/고등학생/제한없음,55.0,디자인 중앙정부/기관 1000~3000대학생/대학원생/일반인/중학생/고등학생/제한없음
56,56,제7회 학교 재난안전 콘텐츠 공모전,14428,3,2,한국교육시설안전원,한국교육시설안전원,2022.08.22~2022.10.11,100만원(부문별 상이),http://contest.koies.or.kr/,https://www.thinkcontest.com/ufiles/contest/f7f8680cfd64256baca07b731496aeb57c26b411.jpg,네이밍/슬로건사진UCC/영상예체능문학/수기,1000~3000,공기업,대학생/대학원생/일반인/어린이/초등학생/중학생/고등학생/제한없음,56.0,네이밍/슬로건사진UCC/영상예체능문학/수기 공기업 1000~3000대학생/대학원생/일반인/어린이/초등학생/중학생/고등학생/제한없음
